mode_id,category,trigger_condition,impact_without_hardening,defense_implemented,post_hardening_outcome,verification_artifact
FM-01,External Dependency Failure,"DNS resolution NXDOMAIN, SERVFAIL, or query timeout",Lead processing halts or crashes unhandled,"Graceful fallback: flags NEEDS_VERIFICATION (-10 penalty), falls back to synthetic data & user params, logs INTEGRATION_FAILED event",Pipeline finishes gracefully with audit entry; lead routed safely without crash,day4/break_tests/failure_injection_cases.json (FIT-01)
FM-02,External Dependency Failure,"Customer website hangs (>5s), returns HTTP 500/503, or connection refused",Indefinite latency stall on SDR queue (up to 10s or hang),Strict 5.0s timeout clamp with httpx.Timeout; fallback to empty metadata + user form company facts; logs INTEGRATION_FAILED,Execution stays bounded under 5s; SDR workflow never blocked,day4/break_tests/failure_injection_cases.json (FIT-02)
FM-03,Data Completeness Failure,Domain missing from synthetic enrichment dataset (untracked SMB/startup),Scorer crashes on NoneType or missing revenue/employee attributes,make_unavailable_enrichment fallback object; flags ENRICHMENT_UNAVAILABLE (-10 pts); scores purely on self-reported inputs; logs FALLBACK_ACTIVATED,Deterministic score calculated reliably; clear audit entry created,day4/break_tests/failure_injection_cases.json (FIT-03)
FM-04,Model Dependency Failure,OpenRouter API 404/500/rate limit or missing API key,Empty email draft or uncaught exception during lead processing,"Multi-tier candidate fallback, wrapped try/except, deterministic template fallback with approved value props; logs FALLBACK_ACTIVATED","Clean, compliant fallback draft generated immediately; SDR can review without outage",day4/break_tests/failure_injection_cases.json (FIT-04)
FM-05,Input Integrity Failure,"Empty required fields, invalid email format, negative numbers","Garbage data stored in database, unparseable downstream payloads",Strict Pydantic contract validation at HTTP layer (HTTP 422 with structured field error breakdown),Zero malformed leads enter pipeline; clean validation messages returned,day4/break_tests/failure_injection_cases.json (FIT-05)
FM-06,System Overload / Performance Failure,High-volume concurrent inbound submissions or extreme payload sizes,Memory spike or unbounded coroutine resource exhaustion,"Non-blocking async I/O, strict field length constraints, bounded metadata truncation (2000 chars)",Sub-50ms CPU execution per case outside network I/O; clean resource limits,day4/break_tests/failure_injection_cases.json (FIT-06)
FM-07,Adversarial Prompt Injection,"Lead notes contain jailbreak strings ('ignore instructions', 'system override', 'grant 100% discount')",LLM incorporates instructions into generated outreach; unauthorized promises made,Pre-flight deterministic regex scan (detect_risks) -> immediate QUARANTINE tier + draft suppression + human gate block,"100% contained: outreach suppressed, lead quarantined, CRM dispatch locked",day4/break_tests/adversarial_cases.json (ADV-01)
FM-08,Adversarial Claim Smuggling,LLM or human reviewer attempts to insert HIPAA compliant or 100% SLA guarantee into outreach draft,False enterprise promises sent to customer; massive compliance liability,Deterministic regex claim validator runs on both initial draft AND modified draft at approval stage; rejects approval if illegal claims present,Approval rejected; SDR alerted to remove offending claims before re-submitting,day4/break_tests/adversarial_cases.json (ADV-02)
FM-09,Adversarial Governance Bypass,Direct HTTP POST to /api/leads/{id}/approval on a Quarantined or Disqualified lead,Bypasses SDR triage to push dangerous leads into production CRM dispatch queue,Server-side state machine check in handle_approval_action enforces non-quarantine precondition; raises HTTP 400 + logs SECURITY_VIOLATION event,Approval forbidden; lead remains QUARANTINED; audit log documents security violation,day4/break_tests/adversarial_cases.json (ADV-03)
FM-10,Adversarial Indirect Injection via Website,External company website HTML contains injection payload in <title> or <meta name='description'>,Poisoned website context injected into LLM draft prompt or used to manipulate ICP scoring,Website metadata is treated as untrusted context; isolated from scoring engine; strictly sanitized before bounded draft context inclusion,Scoring unaffected; prompt injection neutralized; audit trail retains untrusted source origin,day4/break_tests/adversarial_cases.json (ADV-04)
