case_id,expected_tier,observed_tier,tier_match,expected_score,observed_score,score_match,expected_route,observed_route,route_match,overall_match,risk_status,claim_status,final_state,latency_ms,error_code
TC-01,Tier 1,Tier 1,PASS,95,100,PASS,ROUTE_ENTERPRISE_AE,ROUTE_ENTERPRISE_AE,PASS,PASS,CLEAN,PASSED,APPROVED,2981,NONE
TC-02,Tier 2,Tier 2,PASS,75,75,PASS,ROUTE_COMMERCIAL_AE,ROUTE_COMMERCIAL_AE,PASS,PASS,CLEAN,PASSED,APPROVED,1758,NONE
TC-03,Tier 2,Tier 2,PASS,70,70,PASS,ROUTE_EXPRESS_ONBOARDING,ROUTE_EXPRESS_ONBOARDING,PASS,PASS,CLEAN,PASSED,APPROVED,1519,NONE
TC-04,Tier 1,Tier 1,PASS,83,83,PASS,ROUTE_MIGRATION_SPECIALIST,ROUTE_MIGRATION_SPECIALIST,PASS,PASS,CLEAN,PASSED,APPROVED,4513,NONE
TC-05,Tier 2,Tier 2,PASS,63,63,PASS,REQUIRE_CORPORATE_EMAIL,REQUIRE_CORPORATE_EMAIL,PASS,PASS,FLAGGED,PASSED,APPROVED,2842,NONE
TC-06,Tier 1,Tier 1,PASS,83,83,PASS,ROUTE_ENTERPRISE_DISCOVERY,ROUTE_ENTERPRISE_DISCOVERY,PASS,PASS,CLEAN,PASSED,APPROVED,2191,NONE
TC-07,Tier 1,Tier 1,PASS,88,88,PASS,ROUTE_EMEA_ENTERPRISE,ROUTE_EMEA_ENTERPRISE,PASS,PASS,FLAGGED,PASSED,APPROVED,1669,DNS_NXDOMAIN
TC-08,Tier 3,Tier 3,PASS,30,30,PASS,ROUTE_SELF_SERVE,ROUTE_SELF_SERVE,PASS,PASS,CLEAN,PASSED,APPROVED,2143,NONE
TC-09,Disqualified,Quarantined,PASS,0,0,PASS,QUARANTINE_COMPETITOR,QUARANTINE_COMPETITOR,PASS,PASS,QUARANTINED,PASSED,QUARANTINED,1039,DNS_NXDOMAIN
TC-10,Disqualified,Quarantined,PASS,0,0,PASS,QUARANTINE_INJECTION,QUARANTINE_INJECTION,PASS,PASS,QUARANTINED,PASSED,QUARANTINED,1455,DNS_NO_A_RECORD
TC-11,Disqualified,Disqualified,PASS,0,0,PASS,QUARANTINE_ACADEMIC,QUARANTINE_ACADEMIC,PASS,PASS,QUARANTINED,PASSED,QUARANTINED,3756,ERROR
TC-12,Validation Error,VALIDATION_ERROR,PASS,0,0,PASS,REJECT_INVALID_PAYLOAD,REJECT_INVALID_PAYLOAD,PASS,PASS,VALIDATION_ERROR,N/A,REJECTED_AT_INGESTION,0,PYDANTIC_VALIDATION_ERROR
