metric,definition,alert_threshold,review_frequency,owner,action_if_breached
Route Accuracy,Percentage of leads correctly routed to appropriate next action,<85% accuracy over 24 hours,Daily,Sales Operations,"1. Review recent routing decisions 2. Check business rules configuration 3. Analyze scoring edge cases 4. Update routing logic if needed"
Claim Validation Failures,Number of commercial policy violations detected per day,>5 violations in 24 hours,Daily,Compliance Officer,"1. Review blocked claims for pattern analysis 2. Update claim validation rules 3. Investigate LLM generation drift 4. Retrain content filters if needed"
Fallback Activation Rate,Percentage of leads using deterministic templates instead of LLM,>50% fallback rate over 4 hours,Hourly,Technical Operations,"1. Check LLM provider status 2. Verify API credentials and quotas 3. Test LLM connectivity 4. Escalate to provider if needed"
External Integration Timeout Rate,Percentage of DNS/website checks timing out,>40% timeout rate over 2 hours,Hourly,Technical Operations,"1. Check internet connectivity 2. Monitor network latency 3. Review timeout thresholds 4. Consider temporary timeout extension"
Quarantine False Positive Rate,Percentage of quarantined leads manually overridden as legitimate,>10% false positive rate weekly,Weekly,Security Team,"1. Review quarantine patterns 2. Analyze false positive cases 3. Adjust detection sensitivity 4. Update competitor domain lists"
Human Edit Rate,Percentage of generated drafts edited before approval,>60% edit rate over 48 hours,Daily,SDR Team Lead,"1. Review common edit patterns 2. Analyze draft quality issues 3. Improve LLM prompting 4. Update template fallbacks"
Processing Latency P95,95th percentile processing time across all leads,>10 seconds sustained over 1 hour,Hourly,Technical Operations,"1. Check system resource usage 2. Monitor external service latency 3. Identify performance bottlenecks 4. Scale resources if needed"
Approval Turnaround Time,Time from lead processing to human approval decision,>6 hours median over 24 hours,Daily,SDR Team Lead,"1. Check SDR workload distribution 2. Review approval queue backlog 3. Assess training needs 4. Consider workflow optimization"
Audit Log Completeness,Percentage of processed leads with complete audit trail,<100% audit coverage,Daily,Compliance Officer,"1. Check audit database connectivity 2. Verify logging configuration 3. Investigate missing events 4. Ensure regulatory compliance"
System Error Rate,Percentage of leads failing due to system errors,>5% error rate over 2 hours,Hourly,Technical Operations,"1. Check application logs for errors 2. Verify database connectivity 3. Monitor system resources 4. Restart services if needed"
Security Event Rate,Number of security violations or bypass attempts per day,>3 security events in 24 hours,Daily,Security Team,"1. Investigate security event details 2. Review access patterns 3. Check for coordinated attacks 4. Update security measures"
Data Quality Score,Percentage of processed leads with complete enrichment data,<70% enrichment coverage over 24 hours,Daily,Operations Manager,"1. Check enrichment data sources 2. Review synthetic dataset coverage 3. Identify missing company types 4. Update data sources"
