case_id,run_id,component,latency_ms,status
TC-01,run_day4_final,total,2802,PASS
TC-01,run_day4_final,dns,334,VERIFIED
TC-01,run_day4_final,website,1958,REACHABLE
TC-01,run_day4_final,scoring,1,DETERMINISTIC
TC-01,run_day4_final,claim_validation,1,PASSED
TC-02,run_day4_final,total,1796,PASS
TC-02,run_day4_final,dns,296,VERIFIED
TC-02,run_day4_final,website,475,REACHABLE
TC-02,run_day4_final,scoring,1,DETERMINISTIC
TC-02,run_day4_final,claim_validation,1,PASSED
TC-03,run_day4_final,total,2321,PASS
TC-03,run_day4_final,dns,324,VERIFIED
TC-03,run_day4_final,website,1234,REACHABLE
TC-03,run_day4_final,scoring,1,DETERMINISTIC
TC-03,run_day4_final,claim_validation,1,PASSED
TC-04,run_day4_final,total,5662,PASS
TC-04,run_day4_final,dns,674,VERIFIED
TC-04,run_day4_final,website,3419,REACHABLE
TC-04,run_day4_final,scoring,1,DETERMINISTIC
TC-04,run_day4_final,claim_validation,1,PASSED
TC-05,run_day4_final,total,2832,PASS
TC-05,run_day4_final,dns,385,VERIFIED
TC-05,run_day4_final,website,1986,REACHABLE
TC-05,run_day4_final,scoring,1,DETERMINISTIC
TC-05,run_day4_final,claim_validation,1,PASSED
TC-06,run_day4_final,total,3156,PASS
TC-06,run_day4_final,dns,308,VERIFIED
TC-06,run_day4_final,website,1461,REACHABLE
TC-06,run_day4_final,scoring,1,DETERMINISTIC
TC-06,run_day4_final,claim_validation,1,PASSED
TC-07,run_day4_final,total,1359,PASS
TC-07,run_day4_final,dns,315,UNRESOLVED
TC-07,run_day4_final,website,0,UNREACHABLE
TC-07,run_day4_final,scoring,1,DETERMINISTIC
TC-07,run_day4_final,claim_validation,1,PASSED
TC-08,run_day4_final,total,2257,PASS
TC-08,run_day4_final,dns,289,VERIFIED
TC-08,run_day4_final,website,1514,REACHABLE
TC-08,run_day4_final,scoring,1,DETERMINISTIC
TC-08,run_day4_final,claim_validation,1,PASSED
TC-09,run_day4_final,total,923,PASS
TC-09,run_day4_final,dns,301,UNRESOLVED
TC-09,run_day4_final,website,0,UNREACHABLE
TC-09,run_day4_final,scoring,1,DETERMINISTIC
TC-09,run_day4_final,claim_validation,1,PASSED
TC-10,run_day4_final,total,1299,PASS
TC-10,run_day4_final,dns,513,UNRESOLVED
TC-10,run_day4_final,website,0,UNREACHABLE
TC-10,run_day4_final,scoring,1,DETERMINISTIC
TC-10,run_day4_final,claim_validation,1,PASSED
TC-11,run_day4_final,total,2900,PASS
TC-11,run_day4_final,dns,1001,VERIFIED
TC-11,run_day4_final,website,0,UNREACHABLE
TC-11,run_day4_final,scoring,1,DETERMINISTIC
TC-11,run_day4_final,claim_validation,1,PASSED
TC-12,run_day4_final,total,0,PASS
TC-12,run_day4_final,dns,0,SKIPPED_VALIDATION_ERROR
TC-12,run_day4_final,website,0,SKIPPED_VALIDATION_ERROR
TC-12,run_day4_final,scoring,1,DETERMINISTIC
TC-12,run_day4_final,claim_validation,1,N/A
