failure_id,behavior,before,hardening,after,regression_status,evidence
F-01,DNS failure / unresolvable domain,Pipeline crash or unhandled exception on unallocated domain,Graceful fallback to synthetic internal facts + NEEDS_VERIFICATION flag + INTEGRATION_FAILED audit,Structured DNS_NXDOMAIN error + graceful continuation,PASS,"break_tests/run_break_tests.py (FC-01); test_day4_external_integration_failure_audit_event"
F-02,Website timeout on unreachable target,Unbounded request hang or indeterminate network latency,Strict bounded 5.0s timeout + single-attempt guardrail + actionable SDR explanation,Predictable <5000ms bounded latency + TIMEOUT error code + actionable SDR instruction,PASS,"break_tests/run_break_tests.py (FC-02); test_day4_website_timeout_bounded_latency"
F-03,LLM generation unavailable / API 404,Pipeline crash or blank draft on remote LLM failure,Deterministic fallback templates + FALLBACK_ACTIVATED audit event,Safe bounded deterministic first-touch draft generated instantly,PASS,"break_tests/run_break_tests.py (FC-03); test_day4_llm_draft_fallback_emits_fallback_activated_audit_event"
F-04,Prompt injection attack in lead notes,Risk of LLM instruction hijacking or unauthorized qualification,Hardened regex risk detector + deterministic quarantine routing,QUARANTINE_INJECTION route + ICP score locked to 0 + CRM dispatch disabled,PASS,"break_tests/run_break_tests.py (FC-04); test_day3_untrusted_external_content_isolation"
F-05,Malicious external website content,Untrusted external web text could manipulate prompt or score,Untrusted content boundary: web text discarded post-title, strictly isolated from scoring,Score derived strictly from verified facts; cannot escalate tier,PASS,"break_tests/run_break_tests.py (FC-05); test_day4_untrusted_website_content_cannot_escalate_tier"
F-06,Unsafe commercial claims in draft,Unauthorized discount/SLA promises could bypass scrutiny,Regex claim validator blocks unauthorized SLAs HIPAA guarantees and discounts,Blocked claims identified + draft prevented from dispatch,PASS,"break_tests/run_break_tests.py (FC-06); test_day4_claim_validator_blocks_hipaa_and_sla_guarantees"
F-07,Malformed / corrupt input payloads,Unhandled KeyError or 500 internal server error,Strict Pydantic schema validation at API boundary,422 Unprocessable Entity with exact error field list,PASS,"break_tests/run_break_tests.py (FC-07); test_malformed_email_rejected"
F-08,Synthetic account enrichment miss,Failure or null pointer when company not in database,make_unavailable_enrichment fallback + ENRICHMENT_UNAVAILABLE flag,Deterministic qualification computed from verified self-reported facts,PASS,"break_tests/run_break_tests.py (FC-08); test_enrichment_not_found_fallback"
F-09,Quarantine approval bypass attempt,Attacker or rogue SDR approves quarantined lead directly,Strict security invariant in handle_approval_action + APPROVAL_BLOCKED audit,Direct approval of QUARANTINED leads blocked with security violation,PASS,"break_tests/run_break_tests.py (FC-09); test_approval_gate_test_f_quarantined_lead_cannot_be_approved"
F-10,Unsafe edited draft bypass attempt,Rogue SDR edits draft to add unauthorized commitment and approves,Automatic re-validation of final text in handle_approval_action + VALIDATION_BLOCKED audit,Tampered text blocked upon approval attempt with audit event logged,PASS,"break_tests/run_break_tests.py (FC-10); test_approval_gate_test_g_unsafe_edited_draft_cannot_be_approved"
